Login,Deal,Instrument,Side,Lots,Open Price,Close Price,S/L,T/P,SL Hit,TP Hit,Open Time,Close Time,Profit
60003,700033,XAUUSD,Buy,0.28,183.1,181.27,179.44,186.76,0,0,2026.06.21 13:47:48,2026.06.21 13:57:40,-50.32
60003,700034,BTCUSD,Sell,0.37,754.35,761.89,739.26,769.44,0,1,2026.06.21 19:26:09,2026.06.21 19:40:13,107.65
60003,700035,XAUUSD,Buy,0.47,800.11,792.11,0,816.11,0,0,2026.06.21 17:14:34,2026.06.21 17:22:17,-42.12
60003,700036,EURUSD,Sell,0.61,947.06,956.53,928.12,966.0,0,0,2026.06.22 01:22:16,2026.06.22 01:44:52,170.5
60003,700037,BTCUSD,Sell,0.55,309.6,306.5,0,315.79,0,0,2026.06.21 17:17:47,2026.06.21 17:22:18,-258.56
60003,700038,BTCUSD,Buy,0.27,1564.81,1549.16,0,1596.11,0,0,2026.06.21 23:16:42,2026.06.21 23:19:37,-30.3
60003,700039,GBPUSD,Sell,0.55,141.63,143.05,138.8,144.46,0,0,2026.06.22 02:31:20,2026.06.22 02:35:55,45.43
60003,700040,EURUSD,Sell,0.85,633.4,627.07,620.73,646.07,1,0,2026.06.22 08:55:38,2026.06.22 09:04:03,-100.69
60003,700041,BTCUSD,Sell,0.66,1769.81,1787.51,1734.41,1805.21,0,1,2026.06.21 14:14:01,2026.06.21 14:20:29,91.61
60003,700042,BTCUSD,Buy,0.43,725.28,732.53,710.77,739.79,0,1,2026.06.22 03:48:44,2026.06.22 04:07:15,110.36
60003,700043,BTCUSD,Buy,0.26,462.39,467.01,0,471.64,0,1,2026.06.21 20:00:06,2026.06.21 20:20:58,74.5
60003,700044,XAUUSD,Buy,0.62,113.78,114.92,0,116.06,0,1,2026.06.22 00:04:16,2026.06.22 00:27:12,16.5
60003,700045,BTCUSD,Buy,0.73,899.83,908.83,881.83,917.83,0,1,2026.06.22 05:28:18,2026.06.22 05:34:32,30.82
60003,700046,XAUUSD,Buy,0.35,935.76,926.4,0,954.48,0,0,2026.06.22 04:36:24,2026.06.22 04:50:28,-138.45
60003,700047,EURUSD,Buy,0.89,840.95,832.54,824.13,857.77,0,0,2026.06.21 15:32:19,2026.06.21 15:36:10,-78.7
60003,700048,GBPUSD,Sell,0.56,392.24,396.16,384.4,400.08,0,1,2026.06.21 15:54:22,2026.06.21 16:12:35,126.81
60003,700049,BTCUSD,Buy,0.08,82.26,81.44,80.61,83.91,0,0,2026.06.22 09:47:22,2026.06.22 10:07:00,-5.3
60003,700050,GBPUSD,Sell,0.3,1234.34,1246.68,0,1259.03,0,1,2026.06.21 20:48:28,2026.06.21 21:12:29,29.15
60003,700051,EURUSD,Buy,0.49,1431.43,1417.12,0,1460.06,0,0,2026.06.22 11:09:48,2026.06.22 11:14:16,-312.54
60003,700052,XAUUSD,Sell,0.83,1477.24,1462.47,0,1506.78,0,0,2026.06.21 18:57:23,2026.06.21 19:17:50,-170.86
60003,700053,GBPUSD,Buy,0.44,320.71,317.5,0,327.12,0,0,2026.06.22 03:51:53,2026.06.22 04:02:54,-66.5
60003,700054,BTCUSD,Buy,0.14,169.08,167.39,165.7,172.46,1,0,2026.06.22 17:04:16,2026.06.22 17:12:22,-14.06
60004,700000,BTCUSD,Sell,0.85,1496.21,1481.25,1466.29,1526.13,0,0,2026.06.21 09:00:00,2026.06.21 22:48:29,-35.54
60004,700001,GBPUSD,Sell,0.24,1476.4,1491.16,1446.87,1505.93,0,1,2026.06.21 09:23:00,2026.06.21 17:28:11,21.29
60004,700002,XAUUSD,Sell,0.55,492.65,487.72,482.8,502.5,1,0,2026.06.21 09:15:53,2026.06.21 15:02:46,-20.95
60004,700003,EURUSD,Buy,0.48,463.0,467.63,453.74,472.26,0,1,2026.06.21 09:18:24,2026.06.22 03:04:49,127.45
60004,700004,EURUSD,Buy,0.12,389.13,393.02,381.35,396.91,0,0,2026.06.21 10:36:03,2026.06.22 03:19:53,8.37
60004,700005,EURUSD,Buy,0.09,700.05,707.05,686.05,714.05,0,0,2026.06.21 11:05:37,2026.06.22 01:34:41,2.91
60004,700006,EURUSD,Buy,0.4,818.58,810.39,802.21,834.95,1,0,2026.06.21 12:02:39,2026.06.22 04:36:07,-13.61
60004,700007,BTCUSD,Sell,0.57,791.2,783.29,775.38,807.02,1,0,2026.06.21 09:55:17,2026.06.21 12:50:52,-20.75
60004,700008,GBPUSD,Sell,0.1,836.27,827.91,819.54,853.0,1,0,2026.06.21 13:45:10,2026.06.22 03:26:28,-17.91
60004,700009,EURUSD,Sell,0.94,810.54,818.65,794.33,826.75,0,1,2026.06.21 12:48:00,2026.06.21 21:13:26,60.01
60004,700010,EURUSD,Sell,0.17,1546.34,1561.8,1515.41,1577.27,0,0,2026.06.21 12:53:20,2026.06.21 20:49:07,10.18
60004,700011,BTCUSD,Buy,0.21,1474.76,1489.51,1445.26,1504.26,0,1,2026.06.21 13:15:02,2026.06.22 07:52:05,13.71
60004,700012,EURUSD,Buy,0.81,1584.5,1600.35,1552.81,1616.19,0,1,2026.06.21 12:30:08,2026.06.22 03:49:11,206.1
60004,700013,BTCUSD,Sell,0.91,776.4,768.64,760.87,791.93,1,0,2026.06.21 10:38:48,2026.06.22 05:14:38,-153.26
60004,700014,XAUUSD,Sell,0.59,946.44,955.9,927.51,965.37,0,1,2026.06.21 14:42:11,2026.06.21 19:25:45,166.85
60004,700015,GBPUSD,Buy,0.23,1631.48,1615.17,1598.85,1664.11,1,0,2026.06.21 11:37:15,2026.06.22 07:03:50,-39.48
60005,700000,GBPUSD,Buy,0.79,1698.17,1681.19,1664.21,1732.13,1,0,2026.06.21 09:00:00,2026.06.21 18:39:32,-59.63
60005,700001,BTCUSD,Sell,0.64,47.73,48.21,46.78,48.68,0,0,2026.06.21 09:19:24,2026.06.21 18:39:07,54.96
60005,700002,BTCUSD,Buy,0.39,135.17,136.52,132.47,137.87,0,1,2026.06.21 10:00:37,2026.06.21 18:37:01,95.41
60005,700003,EURUSD,Buy,0.79,1467.23,1481.9,1437.89,1496.57,0,1,2026.06.21 10:15:16,2026.06.21 12:49:02,27.8
60005,700004,BTCUSD,Buy,0.71,1228.63,1240.92,1204.06,1253.2,0,0,2026.06.21 09:27:06,2026.06.21 11:42:46,40.37
60005,700005,GBPUSD,Buy,0.84,443.03,438.6,434.17,451.89,1,0,2026.06.21 11:12:55,2026.06.22 01:54:57,-54.94
60005,700006,GBPUSD,Sell,0.25,1839.9,1858.3,1803.1,1876.7,0,1,2026.06.21 10:01:50,2026.06.21 20:34:22,40.42
60005,700007,EURUSD,Buy,0.7,1872.87,1854.14,1835.41,1910.33,0,0,2026.06.21 10:20:14,2026.06.21 14:24:02,-35.26
60005,700008,EURUSD,Buy,0.58,1746.03,1728.57,1711.11,1780.95,1,0,2026.06.21 12:20:42,2026.06.21 20:10:51,-103.74
60005,700009,BTCUSD,Sell,0.39,1155.14,1143.59,1132.04,1178.24,1,0,2026.06.21 11:05:29,2026.06.22 06:54:39,-38.85
60005,700010,EURUSD,Sell,0.98,1278.84,1266.05,1253.26,1304.42,1,0,2026.06.21 14:05:56,2026.06.21 19:55:06,-136.68
60005,700011,EURUSD,Buy,0.45,1251.61,1264.13,1226.58,1276.64,0,1,2026.06.21 11:19:08,2026.06.21 17:50:50,15.02
60005,700012,EURUSD,Buy,0.55,608.17,614.25,596.01,620.33,0,1,2026.06.21 10:31:34,2026.06.21 22:18:05,74.64
60005,700013,XAUUSD,Buy,0.06,318.09,314.91,311.73,324.45,1,0,2026.06.21 12:40:49,2026.06.22 05:25:17,-8.84
60005,700014,EURUSD,Buy,0.3,804.5,812.54,788.41,820.59,0,1,2026.06.21 16:29:56,2026.06.22 08:21:35,60.18
60005,700015,GBPUSD,Sell,0.21,986.21,996.07,966.49,1005.93,0,1,2026.06.21 15:00:50,2026.06.22 01:50:53,7.82
